id	rate	bna
20131	10159	5107
20133	16423	8055
20135	3077	1561
20137	5590	3182
20139	16080	8018
20141	3782	1874
20143	6048	3134
20145	6911	3966
20147	5501	2686
20149	22625	11209
20151	9739	4873
20153	2545	1293
20155	64058	32262
20157	4806	2355
20159	10014	5053
20161	75022	40002
20163	5186	2537
20165	3184	1593
20167	6988	3516
20169	55735	27546
20171	4928	2399
20173	506529	250929
20175	23274	11839
20177	178792	86783
20179	2531	1321
20181	6054	2933
20183	3740	1835
20185	4320	2161
20187	2149	993
20189	5772	2920
20191	23638	11694
20193	7925	3900
20195	2951	1435
20197	6997	3559
20199	1595	789
20201	5686	2885
20203	2204	1150
20205	9061	4477
20207	3211	1606
20209	160806	79445
21001	18852	9308
21003	20355	10014
21005	21761	10599
21007	8256	4098
21009	42925	20895
21011	11978	5947
21013	27950	13581
21015	124617	61530
21017	20013	9878
21019	48917	24241
21021	29388	14607
21023	8425	4203
21025	13591	6829
21027	20061	9945
21029	76961	38049
21031	12835	6450
21033	12826	6191
21035	38106	18379
21037	91475	44858
21039	4984	2402
21041	10830	5590
21043	27326	13502
21045	15954	7857
21047	74159	38891
21049	35657	17464
21051	21300	11415
21053	10188	5052
21055	9222	4625
21057	6807	3313
21059	98173	47590
21061	12105	6077
21063	7725	4345
21065	14476	7118
21067	308306	151459
21069	14544	7179
21071	38649	19048
21073	49778	24271
21075	6422	3169
21077	8567	4289
21079	16976	8332
21081	24670	12239
21083	37502	18263
21085	26001	12950
21087	11149	5455
21089	36477	17709
21091	8669	4448
21093	107529	53651
21095	28400	13877
21097	18648	9105
21099	18441	9109
21101	46396	22456
21103	15455	7698
21105	4720	2245
21107	46518	22603
21109	13357	6650
21111	755809	364719
21113	50328	24638
21115	23350	11406
21117	163007	80417
21119	16000	7942
21121	31809	15487
21123	14149	6949
21125	59751	29281
21127	15821	7836
21129	7119	3752
21131	10997	5428
21133	23671	11632
21135	13790	6899
21137	24498	11827
21139	9394	4636
21141	26851	13283
21143	8402	4588
21145	65408	31320
21147	18001	9863
21149	9500	4699
21151	85838	41648
21153	12979	6515
21155	19717	9994
21157	31181	15341
21159	12631	7020
21161	17296	8471
21163	29098	14672
21165	6343	3279
21167	21342	10537
21169	9985	4942
21171	10765	5344
21173	27167	13368
21175	13428	7477
21177	31309	15881
21179	44564	22027
21181	7075	3448
21183	24065	11989
21185	63037	33307
21187	10711	5258
21189	4616	2156
21191	14514	7237
21193	28041	13848
