CensusId	State	County	TotalPop	Men	Women	White	Black	Native	Asian	Pacific	Employed	Unemployment
6041	California	Marin	258349	126460	131889	72.0	2.4	0.2	5.6	0.2	129027	5.7
6043	California	Mariposa	17789	8931	8858	81.7	1.1	2.3	1.3	0.1	7329	11.6
6045	California	Mendocino	87544	43827	43717	66.7	0.6	3.4	1.9	0.2	36848	12.2
6047	California	Merced	263885	133152	130733	29.9	3.2	0.2	7.4	0.2	96170	16.2
6049	California	Modoc	9184	4664	4520	77.8	0.5	3.5	0.9	0.0	3334	8.6
6051	California	Mono	14146	7311	6835	66.5	0.4	1.6	1.1	0.0	7061	13.4
6053	California	Monterey	428441	219299	209142	31.5	2.6	0.3	5.9	0.5	177333	8.4
6055	California	Napa	140295	69798	70497	54.2	2.0	0.2	7.6	0.2	68587	7.5
6057	California	Nevada	98570	48668	49902	85.7	0.5	0.9	1.4	0.1	41473	9.8
6059	California	Orange	3116069	1539600	1576469	42.4	1.5	0.2	18.8	0.3	1508753	7.6
6061	California	Placer	366280	178729	187551	74.5	1.4	0.4	6.5	0.1	162616	8.3
6063	California	Plumas	18966	9608	9358	84.3	0.7	1.8	0.9	0.9	7200	15.2
6065	California	Riverside	2298032	1143477	1154555	37.8	5.9	0.4	6.0	0.3	920603	12.9
6067	California	Sacramento	1465832	717117	748715	46.8	9.6	0.4	14.8	1.0	633897	11.8
6069	California	San Benito	57557	28773	28784	36.6	0.7	0.3	2.5	0.1	26261	12.2
6071	California	San Bernardino	2094769	1042053	1052716	31.2	8.1	0.4	6.5	0.3	829145	12.6
6073	California	San Diego	3223096	1618945	1604151	47.0	4.7	0.4	11.2	0.4	1462130	8.7
6075	California	San Francisco	840763	427909	412854	41.2	5.3	0.2	33.5	0.4	478373	6.8
6077	California	San Joaquin	708554	352400	356154	34.3	6.7	0.3	14.5	0.5	280460	13.7
6079	California	San Luis Obispo	276517	140953	135564	69.8	1.9	0.4	3.6	0.1	124997	6.6
6081	California	San Mateo	748731	368416	380315	40.8	2.5	0.1	26.2	1.4	387006	6.7
6083	California	Santa Barbara	435850	218483	217367	46.3	1.7	0.4	4.9	0.1	203616	8.0
6085	California	Santa Clara	1868149	939004	929145	33.6	2.4	0.2	33.5	0.3	915619	7.7
6087	California	Santa Cruz	269278	133714	135564	58.3	0.9	0.2	4.2	0.1	131321	7.6
6089	California	Shasta	178942	87851	91091	81.2	1.0	2.2	2.6	0.2	69261	10.3
6091	California	Sierra	3021	1505	1516	88.0	0.1	0.9	0.0	0.5	1110	8.0
6093	California	Siskiyou	43895	21825	22070	78.0	1.4	2.7	1.6	0.3	16127	12.7
6095	California	Solano	425753	211881	213872	39.8	13.5	0.3	14.6	0.8	187021	11.4
6097	California	Sonoma	495078	242817	252261	64.7	1.4	0.5	3.8	0.3	240247	8.1
6099	California	Stanislaus	527367	261045	266322	44.7	2.4	0.5	5.2	0.7	208428	15.2
6101	California	Sutter	95247	47349	47898	48.4	1.9	0.7	14.6	0.3	37520	13.2
6103	California	Tehama	63152	31489	31663	70.1	0.5	1.8	1.3	0.2	23127	13.2
6105	California	Trinity	13373	6878	6495	83.0	1.1	3.4	1.2	0.8	4832	9.0
6107	California	Tulare	454033	227426	226607	30.7	1.3	0.7	3.2	0.1	170780	12.0
6109	California	Tuolumne	54079	28218	25861	81.4	1.8	1.5	1.4	0.1	19477	12.9
6111	California	Ventura	840833	416484	424349	47.0	1.6	0.3	6.9	0.1	398116	8.6
6113	California	Yolo	207320	100937	106383	48.3	2.3	0.5	13.5	0.5	92806	9.0
6115	California	Yuba	73437	37300	36137	56.8	3.2	1.0	7.1	0.3	25499	14.8
8001	Colorado	Adams	471206	237107	234099	52.1	3.0	0.5	3.7	0.1	229743	7.9
8003	Colorado	Alamosa	16269	7972	8297	49.3	1.6	1.2	1.0	0.0	6283	10.4
8005	Colorado	Arapahoe	608310	299103	309207	62.2	9.9	0.3	5.3	0.2	311498	7.2
8007	Colorado	Archuleta	12174	6202	5972	77.2	0.6	2.1	0.7	0.0	5506	8.2
